19:28:26.374 > positionC: 33
19:28:26.379 > positionC: 34
19:28:26.385 > positionC: 35
19:28:26.392 > positionC: 36
19:28:26.396 > positionC: 37
19:28:26.402 > positionC: 38
19:28:27.159 > okok---------------------------------------:1
19:28:30.151 > positionC: 0
19:28:30.157 > positionC: 1
19:28:30.162 > positionC: 2
19:28:30.167 > positionC: 3
19:28:30.173 > positionC: 4
19:28:30.178 > positionC: 5
19:28:30.183 > positionC: 6
19:28:30.188 > positionC: 7
19:28:30.194 > positionC: 8
19:28:30.199 > positionC: 9
19:28:30.204 > positionC: 10
19:28:30.209 > positionC: 11
19:28:30.215 > positionC: 12
19:28:30.220 > positionC: 13
19:28:30.225 > positionC: 14
19:28:30.231 > positionC: 15
19:28:30.236 > positionC: 16
19:28:30.241 > positionC: 17
19:28:30.247 > positionC: 18
19:28:30.252 > positionC: 19
19:28:30.257 > positionC: 20
19:28:30.262 > positionC: 21
19:28:30.268 > positionC: 22
19:28:30.273 > positionC: 23
19:28:30.278 > positionC: 24
19:28:30.283 > positionC: 25
19:28:30.289 > positionC: 26
19:28:30.294 > positionC: 27
19:28:30.299 > positionC: 28
19:28:30.305 > positionC: 29
19:28:30.310 > positionC: 30
19:28:30.315 > positionC: 31
19:28:30.321 > positionC: 32
19:28:30.326 > positionC: 33
19:28:30.331 > positionC: 34
19:28:30.336 > positionC: 35
19:28:30.342 > positionC: 36
19:28:30.347 > positionC: 37
19:28:30.352 > positionC: 38okok
